zona;marca;descripcion;calibre;fleje;precio;descuento;promo_nominal
Nunez;Ortuzar;Cerveza Ortuzar Poker Bourbon 473 ml;473 ml;3715;2043.25;45;
Nunez;Schneider;Cerveza Schneider Remix Límon 473 ml;473 ml;2889;2889;0;
Nunez;Bierhaus;Cerveza Bierhaus Apa Boss Town 473 ml;473 ml;4210;3157.5;25;
Nunez;Bierhaus;Cerveza Bierhaus Ipa Superstar Lata 473 ml;473 ml;4299;4299;0;
Nunez;Ortuzar;Cerveza Ortuzar Session Ipa 473 ml;473 ml;3715;2043.25;45;
Nunez;Imperial;Cerveza Imperial Ipa 473 ml;473 ml;3495;3495;0;
Nunez;Kunstmann;Cerveza Artesanal Kunstmann IPA 470 ml;470 ml;4850;4850;0;
Nunez;Bierhaus;Cerveza Bierhaus Red IPA Timeless Lata 473 ml;473 ml;4299;3224.25;25;
Nunez;Bierhaus;Cerveza Bierhaus Honey Lazybee 473 ml;473 ml;3360;3360;0;
Nunez;Bierhaus;Cerveza Bierhaus Chala Ipa 473 ml;473 ml;5109;5109;0;
Nunez;Imperial;Cerveza Imperial Apa 473 ml;473 ml;3529;3529;0;
Nunez;Bierhaus;Cerveza Argentipa Bierhaus 473 ml;473 ml;4210;4210;0;
Nunez;Grolsch;Cerveza Grolsch Ipa 473 ml;473 ml;4430;4430;0;
Nunez;Rabieta;Cerveza Rabieta American Ipa 473 ml;473 ml;4175;2505;40;
Nunez;Andes Origen;Cerveza Andes Origen IPA 473 ml;473 ml;3569;2676.75;25;
Nunez;Patagonia;Cerveza Patagonia Vera Ipa 473 ml;473 ml;5205;2862.75;45;
Nunez;Quilmes;Cerveza Quilmes Stout 473 ml;473 ml;2745;2196;20;
Nunez;Pampa;Cerveza Pampa Brewing Nitro Cream Stout 473 ml;473 ml;3210;2086.5;35;
Nunez;Pampa;Cerveza Pampa Brewing Amber Ale 473 ml;473 ml;3210;2086.5;35;
Nunez;Patagonia;Cerveza Patagonia Amber Lager Lata 473 ml;473 ml;5309;3716.3;30;
Nunez;Ortuzar;Cerveza Ortuzar Scottish 473 ml;473 ml;3225;1773.75;45;
Nunez;Patagonia;Cerveza Patagonia Roja Amber Lager 730 ml;730 ml;7549;5284.3;30;
Nunez;Guiness;Cerveza Guinness Extra Stout 473 ml;473 ml;4559;2963.35;35;
Nunez;Ortuzar;Cerveza Ortuzar Porter 473 ml;473 ml;3325;1828.75;45;
Nunez;Andes Origen;Cerveza Andes Origen Negra 473ml;473 ml;3499;2624.25;25;
Nunez;Stella Artois;Cerveza Stella Artois Noire Pura Malta 473 ml;473 ml;4309;3231.75;25;
Nunez;Rabieta;Cerveza Rabieta Red Honey 473 ml;473 ml;4175;2713.75;35;
Nunez;Antares;Cerveza Antares Scotch 473 ml;473 ml;4509;3156.3;30;
Nunez;Rabieta;Cerveza Rabieta Irish Red Ale 473 ml;473 ml;4175;2713.75;35;
Nunez;Bierhaus;Cerveza Bierhaus Scotch Momentum 473 ml;473 ml;3360;2520;25;
Nunez;Kunstmann;Cerveza Kunstmann Torobayo 470 cm3;470 ml;4850;4850;0;
Nunez;Fuerte;Cerveza Fuerte 8.6 Oscura Red 500ml;500 ml;6225;6225;0;
Nunez;Quilmes;Cerveza Sin Alcohol 0.0% Quilmes 473 ml;473 ml;2305;1613.5;30;
Nunez;Imperial;Cerveza Imperial Golden Cero Alcohol 473 cm3;473 ml;2229;2229;0;
Nunez;Corona;Cerveza Rubia Sin Alcohol 0.0% Corona 330 ml;330 ml;3855;2698.5;30;
Nunez;Estrella De Galicia;Cerveza Estrella De Galicia 0.0 Lata 330 ml;330 ml;3395;2206.75;35;
Nunez;Stella Artois;Cerveza Stella Artois Sin Alcohol 330 ml;330 ml;3335;2334.5;30;
